DEBUG 2025-07-27 17:41:17,510 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\timezone.py first seen with mtime 1753647578.1913464
DEBUG 2025-07-27 17:41:17,510 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1753647576.1325705
DEBUG 2025-07-27 17:41:17,510 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\views\generic\list.py first seen with mtime 1753647580.7369049
DEBUG 2025-07-27 17:41:17,522 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1753647565.9671533
DEBUG 2025-07-27 17:41:17,522 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\views\i18n.py first seen with mtime 1753647578.6769753
DEBUG 2025-07-27 17:41:17,522 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\wsgiref\handlers.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,522 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\urllib\response.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,532 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\urllib\__init__.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,532 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1753647570.439635
DEBUG 2025-07-27 17:41:17,532 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\ctypes\wintypes.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,532 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\signals.py first seen with mtime 1753647562.023801
DEBUG 2025-07-27 17:41:17,541 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\models\utils.py first seen with mtime 1753647569.5037968
DEBUG 2025-07-27 17:41:17,541 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\lzma.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,541 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1753647432.9849935
DEBUG 2025-07-27 17:41:17,541 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\prj_lojavirtual\main\admin.py first seen with mtime 1753647896.473269
DEBUG 2025-07-27 17:41:17,541 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\paginator.py first seen with mtime 1753647561.9910057
DEBUG 2025-07-27 17:41:17,551 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1753647569.141572
DEBUG 2025-07-27 17:41:17,551 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\html.py first seen with mtime 1753647577.702404
DEBUG 2025-07-27 17:41:17,557 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1753647563.2186072
DEBUG 2025-07-27 17:41:17,561 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\string.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,561 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\models\base.py first seen with mtime 1753647569.053544
DEBUG 2025-07-27 17:41:17,561 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1753647564.3852055
DEBUG 2025-07-27 17:41:17,561 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_events.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,561 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1753647563.7981107
DEBUG 2025-07-27 17:41:17,561 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\importlib\__init__.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,561 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1753647561.5833588
DEBUG 2025-07-27 17:41:17,561 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\encoding.py first seen with mtime 1753647577.5440624
DEBUG 2025-07-27 17:41:17,571 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1753647569.297534
